symbol
360ONE
ABB
APLAPOLLO
AUBANK
ADANIENSOL
ADANIENT
ADANIPORTS
ATGL
ABCAPITAL
ALKEM
AMBUJACEM
APOLLOHOSP
ASHOKLEY
ASIANPAINT
ASTRAL
AUROPHARMA
DMART
AXISBANK
BSE
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BANKBARODA
BANKINDIA
BDL
BEL
BHARATFORG
BHEL
BPCL
BHARTIARTL
BIOCON
BLUESTARCO
BOSCHLTD
BRITANNIA
CGPOWER
CANBK
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
CUMMINSIND
DLF
DABUR
DIVISLAB
DIXON
DRREDDY
EICHERMOT
ETERNAL
EXIDEIND
NYKAA
FEDERALBNK
FORTIS
GAIL
GLENMARK
GODREJCP
GODREJPROP
GRASIM
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HAVELLS
HEROMOTOCO
HINDALCO
HAL
HINDPETRO
HINDUNILVR
HINDZINC
HUDCO
ICICIBANK
ICICIGI
IDFCFIRSTB
ITC
INDIANB
INDHOTEL
IOC
IRCTC
IRFC
IREDA
INDUSTOWER
INDUSINDBK
NAUKRI
INFY
INDIGO
JSWENERGY
JSWSTEEL
JINDALSTEL
JIOFIN
JUBLFOOD
KEI
KPITTECH
KALYANKJIL
KOTAKBANK
LTF
LICHSGFIN
LT
LAURUSLABS
LODHA
LUPIN
MRF
M&MFIN
M&M
MARICO
MARUTI
MFSL
MAXHEALTH
MAZDOCK
MPHASIS
MCX
MUTHOOTFIN
NHPC
NMDC
NTPC
NATIONALUM
NESTLEIND
OBEROIRLTY
ONGC
OIL
PAYTM
OFSS
POLICYBZR
PIIND
PAGEIND
PATANJALI
PERSISTENT
PHOENIXLTD
PIDILITIND
POLYCAB
PFC
POWERGRID
PRESTIGE
PNB
RECLTD
RVNL
RELIANCE
SBICARD
SBILIFE
SRF
MOTHERSON
SHREECEM
SHRIRAMFIN
SIEMENS
SOLARINDS
SBIN
SAIL
SUNPHARMA
SUPREMEIND
SUZLON
TVSMOTOR
TCS
TATACONSUM
TATAELXSI
TATAPOWER
TATASTEEL
TECHM
TITAN
TORNTPHARM
TRENT
TIINDIA
UPL
ULTRACEMCO
VEDL
IDEA
VOLTAS
WIPRO
YESBANK
ZYDUSLIFE
